Mark,Description,InitStatus,IntermediateStatus,FinalStatus,Mark_Status,PerturbationResistant,Room,Status_Room,closeness_centrality,betweenness_centrality,indegree_centrality,original_local_eff,final_local_eff,original_global_eff,final_global_eff,original_avg_global_eff,final_avg_global_eff
1,,, , ,ACTIVE,1,room1,DAMAGED,0,0.0,0,0.17437369729036395,0.17437369729036395,0.3213624338624339,0.3213624338624339,0.17591917504198207,0.17591917504198207
2,isolation_A,1, , ,ACTIVE,1,room1,DAMAGED,0.05555555555555555,0.05161290322580645,0.05555555555555555,0.20222663139329808,0.20222663139329808,0.19689554272887605,0.19689554272887605,0.17591917504198207,0.17591917504198207
3,isolation_A,1, , ,ACTIVE,1,room1,DAMAGED,0.05555555555555555,0.04516129032258064,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.15185185185185185,0.15185185185185185,0.17591917504198207,0.17591917504198207
4,,, , ,ACTIVE,1,room1,DAMAGED,0.07407407407407407,0.12903225806451613,0.05555555555555555,0.22583774250440916,0.22583774250440916,0.20222663139329808,0.20222663139329808,0.17591917504198207,0.17591917504198207
5,,, , ,ACTIVE,1,room1,DAMAGED,0.07407407407407407,0.07741935483870968,0.05555555555555555,0.14814814814814817,0.14814814814814817,0.14814814814814814,0.14814814814814814,0.17591917504198207,0.17591917504198207
6,,, , ,ACTIVE,0,room4,AVAILABLE,0.1736111111111111,0.2709677419354839,0.16666666666666666,0.21182760141093476,0.21182760141093476,0.22583774250440916,0.22583774250440916,0.17591917504198207,0.17591917504198207
7,,, , ,ACTIVE,0,room4,AVAILABLE,0.11574074074074076,0.0,0.05555555555555555,0.22583774250440916,0.22583774250440916,0.1744488536155203,0.1744488536155203,0.17591917504198207,0.17591917504198207
8,,, , ,ACTIVE,0,room4,AVAILABLE,0.11574074074074076,0.2838709677419355,0.05555555555555555,0.1935405643738977,0.1935405643738977,0.24920634920634926,0.24920634920634926,0.17591917504198207,0.17591917504198207
9,,, , ,ACTIVE,0,room3,AVAILABLE,0.14327485380116958,0.36774193548387096,0.1111111111111111,0.15648148148148147,0.15648148148148147,0.16124338624338622,0.16124338624338622,0.17591917504198207,0.17591917504198207
15,,, , ,ACTIVE,0,room3,AVAILABLE,0,0.0,0,0.16124338624338622,0.16124338624338622,0.16587301587301584,0.16587301587301584,0.17591917504198207,0.17591917504198207
16,,, , ,ACTIVE,0,room3,AVAILABLE,0.16071428571428573,0.3741935483870968,0.1111111111111111,0.20740740740740743,0.20740740740740743,0.15648148148148147,0.15648148148148147,0.17591917504198207,0.17591917504198207
17,,, , ,ACTIVE,0,room3,AVAILABLE,0.125,0.36774193548387096,0.05555555555555555,0.1523148148148148,0.1523148148148148,0.20740740740740743,0.20740740740740743,0.17591917504198207,0.17591917504198207
10,,, , ,ACTIVE,0,room3,AVAILABLE,0.12077294685990338,0.34838709677419355,0.05555555555555555,0.14814814814814817,0.14814814814814817,0.14814814814814814,0.14814814814814814,0.17591917504198207,0.17591917504198207
11,,, , ,ACTIVE,0,room2,AVAILABLE,0.17386831275720163,0.41935483870967744,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.14814814814814817,0.14814814814814817,0.17591917504198207,0.17591917504198207
19,,, , ,ACTIVE,0,room2,AVAILABLE,0.22299382716049382,0.38064516129032255,0.16666666666666666,0.17592592592592593,0.17592592592592593,0.16666666666666666,0.16666666666666666,0.17591917504198207,0.17591917504198207
12,,, , ,ACTIVE,0,room2,AVAILABLE,0.1866925064599483,0.1032258064516129,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1574074074074074,0.1574074074074074,0.17591917504198207,0.17591917504198207
14,,, , ,ACTIVE,0,room2,AVAILABLE,0.1866925064599483,0.10967741935483871,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.19444444444444445,0.19444444444444445,0.17591917504198207,0.17591917504198207
13,,, , ,ACTIVE,0,room2,AVAILABLE,0.16055555555555556,0.0,0.1111111111111111,0.17592592592592593,0.17592592592592593,0.16666666666666666,0.16666666666666666,0.17591917504198207,0.17591917504198207
18,,, , ,ACTIVE,0,room2,AVAILABLE,0.17307692307692307,0.0,0.05555555555555555,0,0,0.0,0.0,0.17591917504198207,0.17591917504198207
